accuracy,dataset,classifier
0.727473,50Words,plain_CNN
0.693095,Adiac,plain_CNN
0.822857,ArrowHead,plain_CNN
0.833333,Beef,plain_CNN
0.800000,BeetleFly,plain_CNN
0.900000,BirdChicken,plain_CNN
0.965556,CBF,plain_CNN
0.866667,Car,plain_CNN
0.688542,ChlorineConcentration,plain_CNN
0.965217,CinC_ECG_torso,plain_CNN
1.000000,Coffee,plain_CNN
0.596000,Computers,plain_CNN
0.700000,Cricket_X,plain_CNN
0.697436,Cricket_Y,plain_CNN
0.700000,Cricket_Z,plain_CNN
0.934641,DiatomSizeReduction,plain_CNN
0.820000,DistalPhalanxOutlineAgeGroup,plain_CNN
0.795000,DistalPhalanxOutlineCorrect,plain_CNN
0.760000,DistalPhalanxTW,plain_CNN
0.936888888889,ECG5000,plain_CNN
0.952380952381,ECGFiveDays,plain_CNN
0.729813664596,Earthquakes,plain_CNN
0.855621301775,FaceAll,plain_CNN
0.909090909091,FaceFour,plain_CNN
0.913658536585,FacesUCR,plain_CNN
0.902857142857,Fish,plain_CNN
0.797833935018,FordA,plain_CNN
0.776127612761,FordB,plain_CNN
0.98,Gun_Point,plain_CNN
0.638095238095,Ham,plain_CNN
0.842,HandOutlines,plain_CNN
0.470779220779,Haptics,plain_CNN
0.65625,Herring,plain_CNN
0.42,InlineSkate,plain_CNN
0.6,InsectWingbeatSound,plain_CNN
0.973760932945,ItalyPowerDemand,plain_CNN
0.653333333333,LargeKitchenAppliances,plain_CNN
0.737704918033,Lighting2,plain_CNN
0.780821917808,Lighting7,plain_CNNtw
0.964179104478,MALLAT,plain_CNN
0.916666666667,Meat,plain_CNN
0.736842105263,MedicalImages,plain_CNN
0.765,MiddlePhalanxOutlineAgeGroup,plain_CNN
0.733333333333,MiddlePhalanxOutlineCorrect,plain_CNN
0.601503759398,MiddlePhalanxTW,plain_CNN
0.857028753994,MoteStrain,plain_CNN
0.84631043257,NonInvasiveFatalECG_Thorax1,plain_CNN
0.866157760814,NonInvasiveFatalECG_Thorax2,plain_CNN
0.636363636364,OSULeaf,plain_CNN
0.8,OliveOil,plain_CNN
0.773892773893,PhalangesOutlinesCorrect,plain_CNN
0.246835443038,Phoneme,plain_CNN
1.0,Plane,plain_CNN
0.834146341463,ProximalPhalanxOutlineAgeGroup,plain_CNN
0.876288659794,ProximalPhalanxOutlineCorrect,plain_CNN
0.7525,ProximalPhalanxTW,plain_CNN
0.522666666667,RefrigerationDevices,plain_CNN
0.421333333333,ScreenType,plain_CNN
0.666666666667,ShapeletSim,plain_CNN
0.785,ShapesAll,plain_CNN
0.658666666667,SmallKitchenAppliances,plain_CNN
0.797004991681,SonyAIBORobotSurface,plain_CNN
0.859391395593,SonyAIBORobotSurfaceII,plain_CNN
0.973288003885,StarLightCurves,plain_CNN
0.94942903752,Strawberry,plain_CNN
0.9344,SwedishLeaf,plain_CNN
0.952763819095,Symbols,plain_CNN
0.993333333333,synthetic_control,plain_CNN
0.745614035088,ToeSegmentation1,plain_CNN
0.715384615385,ToeSegmentation2,plain_CNN
0.99,Trace,plain_CNN
0.99825,Two_Patterns,plain_CNN
0.957857769974,TwoLeadECG,plain_CNN
0.965382467895,UWaveGestureLibraryAll,plain_CNN
0.995781959766,wafer,plain_CNN
0.648148148148,Wine,plain_CNN
0.656739811912,WordsSynonyms,plain_CNN
0.569060773481,Worms,plain_CNN
0.657458563536,WormsTwoClass,plain_CNN
0.867,yoga,plain_CNN
0.781407035176,uWaveGestureLibrary_X,plain_CNN
0.711055276382,uWaveGestureLibrary_Y,plain_CNN
0.708263539922,uWaveGestureLibrary_Z,plain_CNN
0.92,ECG200,plain_CNN
.5963,ElectricDevices,plain_CNN