accuracy,dataset,size,network
0.672716273442,Beef,0.0,ts_autoencoder
0.499895433911,Yoga,0.0,ts_autoencoder
0.608665269043,Coffee,0.0,ts_autoencoder
0.57544993078,ECG200,0.0,ts_autoencoder
0.863846932327,FacesUCR,0.0,ts_autoencoder
0.863256940378,Cricket_Y,0.0,ts_autoencoder
0.501780373166,Lighting2,0.0,ts_autoencoder
0.50624646693,TwoLeadECG,0.0,ts_autoencoder
0.638562008754,Two_Patterns,0.0,ts_autoencoder
0.7714103113,MoteStrain,0.0,ts_autoencoder
0.611010284332,Beef,0.1,ts_autoencoder
0.500345702665,Yoga,0.1,ts_autoencoder
0.627533193571,Coffee,0.1,ts_autoencoder
0.610726554889,ECG200,0.1,ts_autoencoder
0.886634532085,FacesUCR,0.1,ts_autoencoder
0.856874869728,Cricket_Y,0.1,ts_autoencoder
0.500071214927,Lighting2,0.1,ts_autoencoder
0.502716372616,TwoLeadECG,0.1,ts_autoencoder
0.660167449009,Two_Patterns,0.1,ts_autoencoder
0.546794239373,MoteStrain,0.1,ts_autoencoder
0.641258318209,Beef,0.2,ts_autoencoder
0.499874833379,Yoga,0.2,ts_autoencoder
0.591194968553,Coffee,0.2,ts_autoencoder
0.543608675588,ECG200,0.2,ts_autoencoder
0.887923716398,FacesUCR,0.2,ts_autoencoder
0.853493596424,Cricket_Y,0.2,ts_autoencoder
0.555618857713,Lighting2,0.2,ts_autoencoder
0.50492398322,TwoLeadECG,0.2,ts_autoencoder
0.638768455151,Two_Patterns,0.2,ts_autoencoder
0.7714103113,MoteStrain,0.2,ts_autoencoder
0.611010284332,Beef,0.3,ts_autoencoder
0.500254655674,Yoga,0.3,ts_autoencoder
0.490566037736,Coffee,0.3,ts_autoencoder
0.610726554889,ECG200,0.3,ts_autoencoder
0.901719889073,FacesUCR,0.3,ts_autoencoder
0.858654835519,Cricket_Y,0.3,ts_autoencoder
0.561600911551,Lighting2,0.3,ts_autoencoder
0.503287614174,TwoLeadECG,0.3,ts_autoencoder
0.618386317905,Two_Patterns,0.3,ts_autoencoder
0.798782598984,MoteStrain,0.3,ts_autoencoder
0.609800362976,Beef,0.4,ts_autoencoder
0.500938887604,Yoga,0.4,ts_autoencoder
0.647798742138,Coffee,0.4,ts_autoencoder
0.605958057735,ECG200,0.4,ts_autoencoder
0.917902398928,FacesUCR,0.4,ts_autoencoder
0.860332238224,Cricket_Y,0.4,ts_autoencoder
0.561600911551,Lighting2,0.4,ts_autoencoder
0.50065306001,TwoLeadECG,0.4,ts_autoencoder
0.617121533424,Two_Patterns,0.4,ts_autoencoder
0.705173023585,MoteStrain,0.4,ts_autoencoder
0.623109497883,Beef,0.5,ts_autoencoder
0.500025106897,Yoga,0.5,ts_autoencoder
0.927323549965,Coffee,0.5,ts_autoencoder
0.605958057735,ECG200,0.5,ts_autoencoder
0.893338211328,FacesUCR,0.5,ts_autoencoder
0.861020403437,Cricket_Y,0.5,ts_autoencoder
0.561600911551,Lighting2,0.5,ts_autoencoder
0.507496057838,TwoLeadECG,0.5,ts_autoencoder
0.627400289714,Two_Patterns,0.5,ts_autoencoder
0.711278643361,MoteStrain,0.5,ts_autoencoder
0.611010284332,Beef,0.6,ts_autoencoder
0.502861910409,Yoga,0.6,ts_autoencoder
0.742837176799,Coffee,0.6,ts_autoencoder
0.625647336307,ECG200,0.6,ts_autoencoder
0.917633158961,FacesUCR,0.6,ts_autoencoder
0.857162708062,Cricket_Y,0.6,ts_autoencoder
0.561600911551,Lighting2,0.6,ts_autoencoder
0.501831245723,TwoLeadECG,0.6,ts_autoencoder
0.620831962963,Two_Patterns,0.6,ts_autoencoder
0.746456692913,MoteStrain,0.6,ts_autoencoder
0.636418632789,Beef,0.7,ts_autoencoder
0.499848530915,Yoga,0.7,ts_autoencoder
1.0,Coffee,0.7,ts_autoencoder
0.553299492386,ECG200,0.7,ts_autoencoder
0.912440787004,FacesUCR,0.7,ts_autoencoder
0.863124600914,Cricket_Y,0.7,ts_autoencoder
0.561600911551,Lighting2,0.7,ts_autoencoder
0.552146618667,TwoLeadECG,0.7,ts_autoencoder
0.622445255869,Two_Patterns,0.7,ts_autoencoder
0.690299882727,MoteStrain,0.7,ts_autoencoder
0.611010284332,Beef,0.8,ts_autoencoder
0.499854968581,Yoga,0.8,ts_autoencoder
0.927323549965,Coffee,0.8,ts_autoencoder
0.630826026765,ECG200,0.8,ts_autoencoder
0.909762245271,FacesUCR,0.8,ts_autoencoder
0.862803677714,Cricket_Y,0.8,ts_autoencoder
0.561600911551,Lighting2,0.8,ts_autoencoder
0.502996042962,TwoLeadECG,0.8,ts_autoencoder
0.624964334343,Two_Patterns,0.8,ts_autoencoder
0.668579016275,MoteStrain,0.8,ts_autoencoder
0.636418632789,Beef,0.9,ts_autoencoder
0.499929461574,Yoga,0.9,ts_autoencoder
0.893081761006,Coffee,0.9,ts_autoencoder
0.605958057735,ECG200,0.9,ts_autoencoder
0.893112128944,FacesUCR,0.9,ts_autoencoder
0.862482754514,Cricket_Y,0.9,ts_autoencoder
0.561600911551,Lighting2,0.9,ts_autoencoder
0.503591086252,TwoLeadECG,0.9,ts_autoencoder
0.612078411513,Two_Patterns,0.9,ts_autoencoder
0.732276018689,MoteStrain,0.9,ts_autoencoder
0.658197217181,Beef,1.0,ts_autoencoder
0.499848530915,Yoga,1.0,ts_autoencoder
0.742837176799,Coffee,1.0,ts_autoencoder
0.610726554889,ECG200,1.0,ts_autoencoder
0.928986770815,FacesUCR,1.0,ts_autoencoder
0.862727582522,Cricket_Y,1.0,ts_autoencoder
0.561600911551,Lighting2,1.0,ts_autoencoder
0.50624646693,TwoLeadECG,1.0,ts_autoencoder
0.616968820748,Two_Patterns,1.0,ts_autoencoder
0.71539869573,MoteStrain,1.0,ts_autoencoder
